Category: All categories

Week,travel: (United States),hotel: (United States)
2015-06-21,30,79
2015-06-28,30,78
2015-07-05,31,82
2015-07-12,30,83
2015-07-19,31,84
2015-07-26,30,80
2015-08-02,29,80
2015-08-09,29,75
2015-08-16,27,73
2015-08-23,26,67
2015-08-30,26,69
2015-09-06,25,67
2015-09-13,25,65
2015-09-20,26,72
2015-09-27,25,71
2015-10-04,25,83
2015-10-11,25,76
2015-10-18,24,68
2015-10-25,23,63
2015-11-01,25,63
2015-11-08,24,61
2015-11-15,25,58
2015-11-22,25,52
2015-11-29,25,55
2015-12-06,24,55
2015-12-13,25,56
2015-12-20,24,58
2015-12-27,27,78
2016-01-03,29,69
2016-01-10,28,68
2016-01-17,29,70
2016-01-24,29,68
2016-01-31,28,66
2016-02-07,27,73
2016-02-14,28,70
2016-02-21,29,70
2016-02-28,28,74
2016-03-06,28,74
2016-03-13,28,73
2016-03-20,30,72
2016-03-27,29,70
2016-04-03,28,70
2016-04-10,28,70
2016-04-17,27,67
2016-04-24,27,68
2016-05-01,28,68
2016-05-08,28,72
2016-05-15,30,73
2016-05-22,29,75
2016-05-29,29,75
2016-06-05,29,77
2016-06-12,29,77
2016-06-19,29,79
2016-06-26,31,83
2016-07-03,30,80
2016-07-10,31,82
2016-07-17,31,86
2016-07-24,29,82
2016-07-31,29,81
2016-08-07,27,75
2016-08-14,26,73
2016-08-21,27,69
2016-08-28,26,67
2016-09-04,25,67
2016-09-11,25,66
2016-09-18,25,65
2016-09-25,24,62
2016-10-02,25,66
2016-10-09,25,67
2016-10-16,25,69
2016-10-23,24,67
2016-10-30,24,63
2016-11-06,22,58
2016-11-13,26,61
2016-11-20,25,57
2016-11-27,27,60
2016-12-04,26,57
2016-12-11,26,58
2016-12-18,26,59
2016-12-25,26,71
2017-01-01,30,67
2017-01-08,31,68
2017-01-15,30,71
2017-01-22,29,66
2017-01-29,39,67
2017-02-05,37,66
2017-02-12,30,70
2017-02-19,33,71
2017-02-26,31,70
2017-03-05,34,74
2017-03-12,35,75
2017-03-19,32,74
2017-03-26,31,72
2017-04-02,30,73
2017-04-09,30,70
2017-04-16,30,71
2017-04-23,30,70
2017-04-30,31,69
2017-05-07,31,71
2017-05-14,30,73
2017-05-21,31,75
2017-05-28,31,75
2017-06-04,33,79
2017-06-11,30,78
2017-06-18,33,83
